GEOID,year,voteshare,CnP_distance_miles,CnP_distance_log,M1_distance_miles,WHITE,INCOME10K,POPULATION100K,BA,M1_distance_log,proximity
39155,2024,41.18634235279493,42.036453714224564,3.7385371874131894,11.355311146064693,85.95450098576232,5.4406,2.00373,13.11461050945651,2.4296855768610714,7.963546285775436
39169,2024,29.911571025399812,34.26104528126754,3.5340090026835385,33.82009802901004,93.21717059116088,7.0121,1.1651,13.88757088953659,3.5210552420176833,15.738954718732458
41029,2024,45.21543505168434,46.25825304140204,3.834239892177595,0.052400817171421026,82.93247305257387,6.8239,2.20768,17.59707298895031,-2.948833092902292,3.7417469585979575
41035,2024,27.751654230606785,30.345903162877235,3.4126615219978866,57.04099828829745,79.61525239213888,5.4961,0.70003,12.41928107564255,4.043770277500882,19.654096837122765
45009,2024,8.141401977018417,44.06705481079202,3.7857124468224557,55.828354574777144,37.82285019750836,3.7952,0.12974,9.113805970149254,4.022281886825934,5.932945189207977
45017,2024,6.027293404094011,8.35283441831367,2.1226009325572583,28.62889387636223,55.215547703180214,5.5642,0.14186000000000001,14.2372586536789,3.354416483238353,41.64716558168633
45027,2024,6.1834733893557425,31.475077334743894,3.449196036948644,19.53812940371854,50.08216000257757,4.6202,0.31004,10.57315770736917,2.9723679103902354,18.524922665256106
45039,2024,7.9956690656646066,46.402673888575016,3.837357084480787,21.3550571377729,38.70594474711923,5.0743,0.20422,9.856990899420873,3.0612885799055327,3.5973261114249837
45055,2024,5.038107450656283,39.116291609205845,3.6665390454075624,31.276399888112834,67.69469846392924,6.1015,0.69905,13.014191990966964,3.4428638159623706,10.883708390794155
45061,2024,7.968937946649684,38.661860600282246,3.6548535998927267,18.77293745471745,33.95590936925903,4.1583,0.15967,8.323900083012603,2.9324163356751107,11.338139399717754
45063,2024,4.649812655775774,30.834448707045432,3.4286325294785507,18.790243301263825,73.38282784565703,7.3022,3.09528,19.82720540470313,2.9333377617856002,19.165551292954568
45075,2024,8.822597472854438,24.65665203797344,3.2050467236358346,41.31363085964946,34.332164106738816,4.2209,0.8282,9.329993738259237,3.72119249054194,25.34334796202656
45079,2024,9.484860327188915,18.023884645257848,2.8916978030460943,9.235388650902612,41.27171771449042,6.101,4.25138,21.33987167288785,2.2230426973246997,31.976115354742152
45085,2024,7.408520193554509,22.83653332228563,3.128361592282167,0.0038797879862605277,45.14987649375793,5.6937,1.04165,13.203338429534575,-5.551974769556281,27.16346667771437
46033,2024,26.112314614230964,6.792804536783472,1.915863895584002,44.85682712067086,90.85885332719319,7.5336,0.09117,19.454836985569216,3.803475798117009,43.20719546321653
46033,2024,26.112314614230964,48.4007270253741,3.8795148347951844,44.85682712067086,90.85885332719319,7.5336,0.09117,19.454836985569216,3.803475798117009,43.20719546321653
46047,2024,24.099204492278893,23.946627743646403,3.1758275099199924,72.85593882933227,85.02576960579468,5.6976,0.07393,14.197116996312436,4.288484050654595,26.053372256353597
46071,2024,31.620903454384415,42.697970022844466,3.7541513786558887,71.9928906150707,36.19957537154989,4.519,0.02776,8.774745853397539,4.276567372683445,7.302029977155534
46103,2024,35.438317426652524,42.45519940711445,3.7484493883455947,13.429510787204386,80.33475789830568,6.7573,1.15903,20.148688648723066,2.5974545830067712,7.544800592885551
46103,2024,35.438317426652524,27.863679198972267,3.327324019897089,13.429510787204386,80.33475789830568,6.7573,1.15903,20.148688648723066,2.5974545830067712,7.544800592885551
47009,2024,25.517161678030742,24.093425592248966,3.181939006278621,27.23914263060636,90.41285835626184,6.9713,1.41456,16.36606001251394,3.304655006138631,25.906574407751034
47029,2024,15.418502202643172,31.39634310421391,3.4466914244827844,19.213845889760794,93.53203846259211,4.5361,0.37404,7.723058896508943,2.955631159228868,18.60365689578609
47057,2024,12.866127583108716,46.65028609538644,3.842679060080259,13.38668227281687,96.02574282251662,5.1951,0.24681,8.303380736573423,2.5942603525127574,3.3497139046135587
47063,2024,20.124700992117955,44.86987917662018,3.803766727241235,9.85345634831724,82.09764361620206,5.6734,0.66216,11.24220837043633,2.2878222919399036,5.130120823379819
