GEOID,year,candidatevotes,totalvotes,voteshare
 1079,2000,6296,12185,51.670086171522364
 1079,2004,6155,14001,43.96114563245482
 1079,2008,5164,14680,35.17711171662125
 1079,2012,5069,14112,35.91978458049886
 1079,2016,3627,14829,24.458830669633823
 1079,2020,3562,16031,22.219449815981534
 1079,2024,2983,16122,18.502667162883014
 1081,2000,14574,38264,38.0880200710851
 1081,2004,16227,44610,36.37525218560861
 1081,2008,21498,54325,39.57294063506673
 1081,2012,21381,54359,39.33295314483342
 1081,2016,21230,59191,35.86693923062628
 1081,2020,27860,71449,38.992848045459
 1081,2024,25798,73127,35.27835136133029
 1083,2000,8992,23634,38.04688161123805
 1083,2004,9126,29073,31.389949437622537
 1083,2008,9536,33551,28.422401716789363
 1083,2012,9829,35459,27.719337826785868
 1083,2016,9468,40294,23.497294882612795
 1083,2020,13672,49235,27.768863613283234
 1083,2024,14581,53332,27.34005850146254
 1085,2000,4557,6243,72.99375300336376
 1085,2004,4233,6021,70.30393622321873
 1085,2008,5449,7278,74.86946963451497
 1085,2012,5747,7521,76.41271107565484
 1085,2016,4883,6684,73.05505685218432
 1085,2020,4972,6835,72.74323335771763
 1085,2024,3867,5655,68.38196286472149
 1087,2000,7665,8831,86.79651228626429
 1087,2004,7800,9407,82.91697671946423
 1087,2008,9450,10877,86.88057368759769
 1087,2012,9045,10394,87.02135847604387
 1087,2016,7566,9140,82.77899343544858
 1087,2020,7108,8723,81.48572738736674
 1087,2024,6084,7834,77.66147561909624
 1089,2000,48199,113318,42.534284050195026
 1089,2004,52644,131062,40.16724908821779
 1089,2008,64117,152899,41.934218013198254
 1089,2012,62015,155059,39.994453724066325
 1089,2016,62822,163389,38.44934481513443
 1089,2020,87286,194767,44.81560017867503
 1089,2024,87824,197617,44.44152071937131
 1091,2000,4841,9608,50.38509575353872
 1091,2004,5037,10322,48.79868242588646
 1091,2008,5926,11471,51.66070961555226
 1091,2012,6167,11537,53.454104186530294
 1091,2016,5615,10994,51.07331271602692
 1091,2020,5488,10900,50.348623853211
 1091,2024,4631,9682,47.831026647386906
 1093,2000,4600,11756,39.128955427015995
 1093,2004,3808,12875,29.576699029126214
 1093,2008,2600,12355,21.04411169566977
 1093,2012,2249,12105,18.579099545642297
 1093,2016,1432,12984,11.028958718422674
 1093,2020,1463,13807,10.596074454986601
 1093,2024,1197,13543,8.83851436166285
 1095,2000,10381,27989,37.08957090285469
 1095,2004,8452,31491,26.839414435870566
 1095,2008,7038,33166,21.220527045769764
 1095,2012,6299,32566,19.342258797518884
 1095,2016,4917,35316,13.92286782195039
 1095,2020,5943,39655,14.98676081200353
 1095,2024,5553,40288,13.783260524225577
 1097,2000,58640,139745,41.962145336147984
 1097,2004,63732,156771,40.6529268806093
 1097,2008,82181,181424,45.29775553399771
 1097,2012,78760,174864,45.04071735748924
 1097,2016,72186,172737,41.7895413258306
 1097,2020,79474,183164,43.38953069380446
 1097,2024,72055,175164,41.13573565344477
 1099,2000,3741,8951,41.794212937101996
 1099,2004,3666,9534,38.45185651353052
 1099,2008,5025,11252,44.65872733736225
 1099,2012,4914,10708,45.89092267463579
 1099,2016,4332,10271,42.177003212929606
 1099,2020,4455,10668,41.76040494938133
 1099,2024,3740,9815,38.104941416199694
 1101,2000,40371,80328,50.25769345682701
 1101,2004,45160,89650,50.37367540435025
 1101,2008,62166,104743,59.350982881910966
 1101,2012,63085,101924,61.89415643028139
 1101,2016,58916,95878,61.44892467510795
 1101,2020,64529,99139,65.08941990538537
 1101,2024,57946,89798,64.52927682131005
 1103,2000,16060,42681,37.627984349007754
 1103,2004,14131,47007,30.061480205075842
 1103,2008,13895,50542,27.491986862411462
